country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,bank_account
Kenya,2018,uniqueid_1,Rural,Yes,3,24,Female,Spouse,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_2,Rural,No,5,70,Female,Head of Household,Widowed,No formal education,Government Dependent,No
Kenya,2018,uniqueid_3,Urban,Yes,5,26,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed,Yes
Kenya,2018,uniqueid_4,Rural,Yes,5,34,Female,Head of Household,Married/Living together,Primary education,Formally employed Private,No
Kenya,2018,uniqueid_5,Urban,No,8,26,Male,Child,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_6,Rural,No,7,26,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_7,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_8,Rural,Yes,1,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government,No
Kenya,2018,uniqueid_9,Rural,Yes,3,54,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Yes
Kenya,2018,uniqueid_10,Urban,Yes,3,76,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent,No
Kenya,2018,uniqueid_11,Rural,Yes,5,40,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Kenya,2018,uniqueid_12,Rural,Yes,3,69,Male,Head of Household,Married/Living together,Secondary education,Other Income,Yes
Kenya,2018,uniqueid_13,Rural,No,6,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Kenya,2018,uniqueid_14,Rural,No,8,31,Female,Spouse,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_15,Urban,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_16,Rural,Yes,7,38,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Kenya,2018,uniqueid_17,Urban,Yes,1,47,Female,Head of Household,Married/Living together,Secondary education,Self employed,No
Kenya,2018,uniqueid_18,Rural,Yes,6,27,Female,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Kenya,2018,uniqueid_19,Urban,Yes,1,48,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private,No
Kenya,2018,uniqueid_20,Rural,No,4,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_21,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Kenya,2018,uniqueid_22,Urban,Yes,1,32,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed,Yes
Kenya,2018,uniqueid_23,Urban,Yes,4,34,Female,Spouse,Married/Living together,Secondary education,Self employed,No
Kenya,2018,uniqueid_24,Rural,Yes,3,21,Female,Spouse,Married/Living together,Secondary education,Informally employed,No
Kenya,2018,uniqueid_25,Urban,No,7,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_26,Rural,Yes,5,22,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Kenya,2018,uniqueid_27,Rural,No,8,26,Male,Child,Married/Living together,Primary education,Self employed,No
Kenya,2018,uniqueid_28,Urban,Yes,1,31,Female,Head of Household,Single/Never Married,Primary education,Informally employed,No
Kenya,2018,uniqueid_29,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,No
Kenya,2018,uniqueid_30,Rural,No,7,58,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
